20100901-5f tip_0.65+2
2.787055568917605197e-01 -1.333547909201786980e-02
2.876298916442776021e-01 -1.307114558105650949e-02
2.965648186003998488e-01 -1.280129707029598225e-02
3.055033401736530485e-01 -1.252764346719989486e-02
3.144417566508634354e-01 -1.225039000927037776e-02
3.233797676076530236e-01 -1.196923712148659225e-02
3.323193733251370019e-01 -1.168438197245760639e-02
3.412564746567804397e-01 -1.139643036552286798e-02
3.501892693394346168e-01 -1.110378485035700552e-02
3.591229587834843806e-01 -1.080743806486263170e-02
3.680626506280344490e-01 -1.051278278409327818e-02
3.769991412017549837e-01 -1.021723203413056960e-02
3.859314258341836057e-01 -9.917487233876228284e-03
3.948699130084715736e-01 -9.619533655127660010e-03
4.038115034355226896e-01 -9.323875685729239582e-03
4.127482913193116776e-01 -9.026424512991661209e-03
4.216842729752829366e-01 -8.724574477138908810e-03
4.306084556339940250e-01 -8.423441144609036813e-03
4.395300496200724161e-01 -8.130311484611234263e-03
4.484598426070180444e-01 -7.836470217433543287e-03
4.573813307892559132e-01 -7.539240703103288269e-03
4.663105263248742416e-01 -7.247200283479243201e-03
4.752500251060415293e-01 -6.957445280919365496e-03
4.841825244604606726e-01 -6.668100187125629817e-03
4.931028321791157687e-01 -6.384672357682718603e-03
5.020177527850983035e-01 -6.110352163336499158e-03
5.109355830142232602e-01 -5.842827856950683248e-03
5.198656079934216301e-01 -5.571586284009744441e-03
5.287813353934599503e-01 -5.302064952377915676e-03
5.376944802079255403e-01 -5.044847288969752513e-03
5.466327320752181196e-01 -4.792594089110402931e-03
5.555702873406406228e-01 -4.542741877763050926e-03
5.645027501138283332e-01 -4.298196880641237672e-03
5.734370203878674799e-01 -4.058949330137568388e-03
5.823765963189772021e-01 -3.823694272971115207e-03
5.913076765053896233e-01 -3.591451245358633863e-03
6.002188691689790412e-01 -3.368036379274926603e-03
6.091337754185759401e-01 -3.154216265869928121e-03
6.180651795282479100e-01 -2.938872796645818249e-03
6.269830886060295816e-01 -2.727048434451080292e-03
6.359022139619544545e-01 -2.526722362019526245e-03
6.448435455242552683e-01 -2.330764858964252517e-03
6.537822392517355086e-01 -2.076150743124168668e-03
6.622577235344413449e-01 -2.217373683514121518e-03
6.707322739368647424e-01 -2.358689103404215063e-03
6.792052931229001222e-01 -2.500359328640462241e-03
6.876767711845171993e-01 -2.642656166256349571e-03
6.961466970765355367e-01 -2.785851095275185089e-03
7.046150602912010230e-01 -2.930215295178327864e-03
7.130818504359572874e-01 -3.076019639409005926e-03
7.215470563057295728e-01 -3.223534679701263277e-03
7.300106681350263527e-01 -3.373030685624883208e-03
7.384726743019858208e-01 -3.524777587291325585e-03
7.469330650561508689e-01 -3.679045041672685847e-03
7.553918293944720252e-01 -3.836102377401896715e-03
7.638489566275618037e-01 -3.996218623022930287e-03
7.723044367278315558e-01 -4.159662514716200819e-03
7.807582580639288450e-01 -4.326702452864421289e-03
7.892104110399298378e-01 -4.497606573263659112e-03
7.976608846794164265e-01 -4.672642680725071218e-03
8.061096682107615763e-01 -4.852078280141187278e-03
8.145567516754311788e-01 -5.036180590757239478e-03
8.230021237640839926e-01 -5.225216499843768347e-03
8.314457744446758225e-01 -5.419452620260964068e-03
8.398876934099946956e-01 -5.619155257604206873e-03
8.483278692202266269e-01 -5.824590388594858698e-03
8.567662923240157991e-01 -6.036023734177722692e-03
8.652029520725934564e-01 -6.253720688602319201e-03
8.736378374188843443e-01 -6.477946334582933459e-03
8.820709386859002521e-01 -6.708965491136120382e-03
8.905022452518613907e-01 -6.947042653269901342e-03
8.989317462571027040e-01 -7.192442009273401771e-03
9.073594320251183731e-01 -7.445427483230771491e-03
9.157852920873750246e-01 -7.706262678785172349e-03
9.242093155688015926e-01 -7.975210888315112379e-03
9.326314929208368021e-01 -8.252535149142396428e-03
9.410518139104832036e-01 -8.538498181324996952e-03
9.494702675827721983e-01 -8.833362383226734185e-03
9.578868445100797713e-01 -9.137389910389608419e-03
9.663015346252212812e-01 -9.450842602451716215e-03
9.747143274266955038e-01 -9.773981988014903560e-03
9.831252130068309780e-01 -1.010706932377680722e-02
9.915341817292639970e-01 -1.045036558511197589e-02
9.999412236759183115e-01 -1.080413144462349928e-02
