i: 0, k: 926, m: 1
Successful: CL/CD=32.3886, R=0.05193356750532985
Successful: CL/CD=22.8134, R=0.05650101229548454
Successful: CL/CD=36.6228, R=0.04382462380453944
Successful: CL/CD=26.6219, R=0.05255662836134434
Successful: CL/CD=34.4679, R=0.0444792159833014
Successful: CL/CD=29.6670, R=0.04808879550546408
Successful: CL/CD=35.7808, R=0.04757086141034961
Successful: CL/CD=24.7039, R=0.053332262206822634
Successful: CL/CD=24.8411, R=0.07531760912388563
Successful: CL/CD=23.7814, R=0.05232384288683534
Successful: CL/CD=22.9758, R=0.07373176980763674
Successful: CL/CD=33.2516, R=0.049623210914433
Successful: CL/CD=17.0111, R=0.06317897839471698
Successful: CL/CD=29.6219, R=0.04672118928283453
Successful: CL/CD=28.6036, R=0.047952824272215366
Successful: CL/CD=14.1816, R=0.06985098356381059
Successful: CL/CD=26.0102, R=0.051577127538621426
Successful: CL/CD=23.1767, R=0.052659899927675724
Successful: CL/CD=22.6737, R=0.05341617250815034
Successful: CL/CD=17.8243, R=0.07897670194506645
Successful: CL/CD=24.8531, R=0.04966056905686855
Successful: CL/CD=29.7152, R=0.046841330360621214
Successful: CL/CD=26.6314, R=0.06411690171808004
Successful: CL/CD=36.3057, R=0.04314489895477891
Successful: CL/CD=23.5341, R=0.06748452503234148
Successful: CL/CD=15.5355, R=0.06947678467258811
Successful: CL/CD=28.0925, R=0.049104693811386824
Successful: CL/CD=37.7126, R=0.04583983728662133
Successful: CL/CD=20.3401, R=0.08681583497673273
Successful: CL/CD=34.2679, R=0.04802119359374046
Successful: CL/CD=27.5464, R=0.0688067926093936
Successful: CL/CD=24.5234, R=0.05180215975269675
Successful: CL/CD=30.8174, R=0.04622369818389416
Successful: CL/CD=35.0909, R=0.04904405726119876
Successful: CL/CD=32.0668, R=0.04500091215595603
Successful: CL/CD=23.5117, R=0.063376784324646
Successful: CL/CD=30.2228, R=0.04799789097160101
Successful: CL/CD=30.2402, R=0.04916262673214078
Successful: CL/CD=21.1333, R=0.05866049416363239
Successful: CL/CD=33.1160, R=0.04480748251080513
Successful: CL/CD=28.0859, R=0.06740541476756334
Successful: CL/CD=28.6563, R=0.05821701139211655
Successful: CL/CD=39.9528, R=0.04243166744709015
Successful: CL/CD=40.4648, R=0.06484145764261484
Successful: CL/CD=26.8747, R=0.04897938063368201
Successful: CL/CD=16.8301, R=0.07157753314822912
Successful: CL/CD=33.6313, R=0.06428699847310781
Successful: CL/CD=34.1762, R=0.04446895560249686
Successful: CL/CD=27.3585, R=0.049457748886197805
Successful: CL/CD=24.5610, R=0.05670571140944958
Successful: CL/CD=25.9716, R=0.06093241972848773
Successful: CL/CD=22.7483, R=0.05350114498287439
Successful: CL/CD=24.5834, R=0.050544705241918564
Successful: CL/CD=15.5746, R=0.06933065131306648
Successful: CL/CD=29.8572, R=0.0468433634378016
Successful: CL/CD=32.2291, R=0.0466216211207211
Successful: CL/CD=38.4419, R=0.04133157432079315
Successful: CL/CD=36.5530, R=0.04458081442862749
Successful: CL/CD=27.1688, R=0.04820242477580905
Successful: CL/CD=36.0392, R=0.04330697702243924
Successful: CL/CD=32.6773, R=0.07203764468431473
Successful: CL/CD=25.5843, R=0.07787766121327877
Successful: CL/CD=31.4900, R=0.05068147275596857
Successful: CL/CD=26.2040, R=0.05263414140790701
Successful: CL/CD=24.7985, R=0.06635070871561766
Successful: CL/CD=34.2638, R=0.04990718886256218
Successful: CL/CD=25.7509, R=0.05000985832884908
Successful: CL/CD=39.4427, R=0.04319841042160988
Successful: CL/CD=29.1837, R=0.04768399288877845
Successful: CL/CD=33.1413, R=0.0449249385856092
Successful: CL/CD=28.5563, R=0.05009239399805665
Successful: CL/CD=21.9978, R=0.057231235317885876
Successful: CL/CD=27.3875, R=0.06819786038249731
Successful: CL/CD=20.7969, R=0.054809014312922955
Successful: CL/CD=34.0622, R=0.051196076441556215
Successful: CL/CD=34.5582, R=0.04914609296247363
Successful: CL/CD=19.1243, R=0.08005880285054445
Successful: CL/CD=11.5813, R=0.11938656028360128
Successful: CL/CD=22.1416, R=0.06590133719146252
Successful: CL/CD=27.3938, R=0.04899563267827034
Successful: CL/CD=15.3571, R=0.0667973505333066
Successful: CL/CD=27.7953, R=0.049303311854600906
Successful: CL/CD=25.0160, R=0.05440852511674166
Successful: CL/CD=33.2329, R=0.0464526517316699
Successful: CL/CD=35.5773, R=0.04722811793908477
Successful: CL/CD=15.7262, R=0.08598577324301004
Successful: CL/CD=28.3494, R=0.05391280632466078
Successful: CL/CD=33.4975, R=0.04971663327887654
Successful: CL/CD=35.9861, R=0.043211187701672316
Successful: CL/CD=31.1767, R=0.04904888477176428
Successful: CL/CD=27.6352, R=0.05204379465430975
Successful: CL/CD=22.6118, R=0.053755263797938824
Successful: CL/CD=27.5460, R=0.04837056249380112
Successful: CL/CD=39.8847, R=0.04238900914788246
Successful: CL/CD=39.0102, R=0.04206538153812289
Successful: CL/CD=17.5127, R=0.06751995533704758
Successful: CL/CD=37.0432, R=0.04617220489308238
Successful: CL/CD=16.5916, R=0.06299784360453486
Successful: CL/CD=28.8765, R=0.05673457449302077
Successful: CL/CD=27.7246, R=0.05161275574937463
Successful: CL/CD=23.6975, R=0.052396723069250584
Successful: CL/CD=32.1371, R=0.046672679018229246
Successful: CL/CD=26.9531, R=0.0699279410764575
Successful: CL/CD=22.9897, R=0.054829621221870184
Successful: CL/CD=23.2661, R=0.05578043358400464
Successful: CL/CD=30.0970, R=0.04871522216126323
Successful: CL/CD=35.8036, R=0.04675077321007848
Successful: CL/CD=34.8143, R=0.047973692417144775
Successful: CL/CD=26.7897, R=0.05281737167388201
Successful: CL/CD=28.9952, R=0.04891722369939089
Successful: CL/CD=20.1215, R=0.06150355376303196
